,"('J', 'J')","('J', 'C')","('J', 'H')","('J', 'G')","('J', 'E')","('J', 'B')","('J', 'A')","('J', 'I')","('J', 'F')","('J', 'D')","('C', 'J')","('C', 'C')","('C', 'H')","('C', 'G')","('C', 'E')","('C', 'B')","('C', 'A')","('C', 'I')","('C', 'F')","('C', 'D')","('H', 'J')","('H', 'C')","('H', 'H')","('H', 'G')","('H', 'E')","('H', 'B')","('H', 'A')","('H', 'I')","('H', 'F')","('H', 'D')","('G', 'J')","('G', 'C')","('G', 'H')","('G', 'G')","('G', 'E')","('G', 'B')","('G', 'A')","('G', 'I')","('G', 'F')","('G', 'D')","('E', 'J')","('E', 'C')","('E', 'H')","('E', 'G')","('E', 'E')","('E', 'B')","('E', 'A')","('E', 'I')","('E', 'F')","('E', 'D')","('B', 'J')","('B', 'C')","('B', 'H')","('B', 'G')","('B', 'E')","('B', 'B')","('B', 'A')","('B', 'I')","('B', 'F')","('B', 'D')","('A', 'J')","('A', 'C')","('A', 'H')","('A', 'G')","('A', 'E')","('A', 'B')","('A', 'A')","('A', 'I')","('A', 'F')","('A', 'D')","('I', 'J')","('I', 'C')","('I', 'H')","('I', 'G')","('I', 'E')","('I', 'B')","('I', 'A')","('I', 'I')","('I', 'F')","('I', 'D')","('F', 'J')","('F', 'C')","('F', 'H')","('F', 'G')","('F', 'E')","('F', 'B')","('F', 'A')","('F', 'I')","('F', 'F')","('F', 'D')","('D', 'J')","('D', 'C')","('D', 'H')","('D', 'G')","('D', 'E')","('D', 'B')","('D', 'A')","('D', 'I')","('D', 'F')","('D', 'D')"
0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,,,11.394267984578835,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,,,,,
9,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,,,,,
10,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,,,,,
11,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,,,,,
12,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,13.921795677048454,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,13.921795677048454,,,,,,,,,,,,,
13,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,,,,,
14,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,13.921795677048454,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,13.921795677048454,,,,,,,,,,,,,
15,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,10.904925124490397,,,,,13.921795677048454,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,13.921795677048454,,,,,,,,,,,,,
16,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,13.921795677048454,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,13.921795677048454,,,,,,,,,,,,,
17,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,13.921795677048454,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,13.921795677048454,,,,,,,,,,,,,
18,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,13.921795677048454,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,13.921795677048454,,,,,,,,,,,,,
19,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,13.921795677048454,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,13.921795677048454,,,,,,,,,,,,,
20,,,9.011647870223289,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,13.921795677048454,,,,,,,,,,,,,,,,,13.094304566778266,13.921795677048454,,,,,,,,,,,,,
21,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,13.341104266407502,,10.904925124490397,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,,,,,
22,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,13.341104266407502,,,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,,,11.394267984578835,,,13.921795677048454,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,13.921795677048454,,,,,,,,,,,,,
23,,,9.011647870223289,,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,,,,,,,,,,,,13.341104266407502,,10.904925124490397,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,13.921795677048454,,,,,,,,,,,,,11.037260313668911,,,,13.094304566778266,13.921795677048454,,,,,,,,,,,,,
24,,,9.011647870223289,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,13.341104266407502,,10.904925124490397,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,,,,,10.904925124490397,,11.394267984578835,,,13.921795677048454,,,,,,,,,,,,,,,,,13.094304566778266,13.921795677048454,,,,,,,,,,,,,
