,"('C', 'C')","('C', 'E')","('C', 'G')","('C', 'I')","('C', 'F')","('C', 'D')","('C', 'B')","('C', 'H')","('C', 'A')","('C', 'J')","('E', 'C')","('E', 'E')","('E', 'G')","('E', 'I')","('E', 'F')","('E', 'D')","('E', 'B')","('E', 'H')","('E', 'A')","('E', 'J')","('G', 'C')","('G', 'E')","('G', 'G')","('G', 'I')","('G', 'F')","('G', 'D')","('G', 'B')","('G', 'H')","('G', 'A')","('G', 'J')","('I', 'C')","('I', 'E')","('I', 'G')","('I', 'I')","('I', 'F')","('I', 'D')","('I', 'B')","('I', 'H')","('I', 'A')","('I', 'J')","('F', 'C')","('F', 'E')","('F', 'G')","('F', 'I')","('F', 'F')","('F', 'D')","('F', 'B')","('F', 'H')","('F', 'A')","('F', 'J')","('D', 'C')","('D', 'E')","('D', 'G')","('D', 'I')","('D', 'F')","('D', 'D')","('D', 'B')","('D', 'H')","('D', 'A')","('D', 'J')","('B', 'C')","('B', 'E')","('B', 'G')","('B', 'I')","('B', 'F')","('B', 'D')","('B', 'B')","('B', 'H')","('B', 'A')","('B', 'J')","('H', 'C')","('H', 'E')","('H', 'G')","('H', 'I')","('H', 'F')","('H', 'D')","('H', 'B')","('H', 'H')","('H', 'A')","('H', 'J')","('A', 'C')","('A', 'E')","('A', 'G')","('A', 'I')","('A', 'F')","('A', 'D')","('A', 'B')","('A', 'H')","('A', 'A')","('A', 'J')","('J', 'C')","('J', 'E')","('J', 'G')","('J', 'I')","('J', 'F')","('J', 'D')","('J', 'B')","('J', 'H')","('J', 'A')","('J', 'J')"
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,,
9,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,
