,"('F', 'F')","('F', 'E')","('F', 'I')","('F', 'A')","('F', 'H')","('F', 'D')","('F', 'C')","('F', 'B')","('F', 'G')","('F', 'J')","('E', 'F')","('E', 'E')","('E', 'I')","('E', 'A')","('E', 'H')","('E', 'D')","('E', 'C')","('E', 'B')","('E', 'G')","('E', 'J')","('I', 'F')","('I', 'E')","('I', 'I')","('I', 'A')","('I', 'H')","('I', 'D')","('I', 'C')","('I', 'B')","('I', 'G')","('I', 'J')","('A', 'F')","('A', 'E')","('A', 'I')","('A', 'A')","('A', 'H')","('A', 'D')","('A', 'C')","('A', 'B')","('A', 'G')","('A', 'J')","('H', 'F')","('H', 'E')","('H', 'I')","('H', 'A')","('H', 'H')","('H', 'D')","('H', 'C')","('H', 'B')","('H', 'G')","('H', 'J')","('D', 'F')","('D', 'E')","('D', 'I')","('D', 'A')","('D', 'H')","('D', 'D')","('D', 'C')","('D', 'B')","('D', 'G')","('D', 'J')","('C', 'F')","('C', 'E')","('C', 'I')","('C', 'A')","('C', 'H')","('C', 'D')","('C', 'C')","('C', 'B')","('C', 'G')","('C', 'J')","('B', 'F')","('B', 'E')","('B', 'I')","('B', 'A')","('B', 'H')","('B', 'D')","('B', 'C')","('B', 'B')","('B', 'G')","('B', 'J')","('G', 'F')","('G', 'E')","('G', 'I')","('G', 'A')","('G', 'H')","('G', 'D')","('G', 'C')","('G', 'B')","('G', 'G')","('G', 'J')","('J', 'F')","('J', 'E')","('J', 'I')","('J', 'A')","('J', 'H')","('J', 'D')","('J', 'C')","('J', 'B')","('J', 'G')","('J', 'J')"
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,,0.0,0.0,,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
9,,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,,0.0,0.0,,,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,
