algo,step,u,v,capacity,utilization,up
heuristic_no_delay,0,A,B,35.970423384352436,0.0,True
heuristic_no_delay,0,B,A,35.970423384352436,0.0,True
heuristic_no_delay,0,A,D,39.04273505109231,0.0,True
heuristic_no_delay,0,D,A,39.04273505109231,0.0,True
heuristic_no_delay,0,A,G,31.33813920709726,0.0,True
heuristic_no_delay,0,G,A,31.33813920709726,0.0,True
heuristic_no_delay,0,B,C,33.6332662421983,0.0,True
heuristic_no_delay,0,C,B,33.6332662421983,0.0,True
heuristic_no_delay,0,B,D,74.64873706223574,0.0,True
heuristic_no_delay,0,D,B,74.64873706223574,0.0,True
heuristic_no_delay,0,B,E,32.55523914133637,0.0,True
heuristic_no_delay,0,E,B,32.55523914133637,0.0,True
heuristic_no_delay,0,B,K,73.2530125308891,0.0,True
heuristic_no_delay,0,K,B,73.2530125308891,0.0,True
heuristic_no_delay,0,B,N,42.064380090612865,0.0,True
heuristic_no_delay,0,N,B,42.064380090612865,0.0,True
heuristic_no_delay,0,C,D,78.70086437048818,0.0,True
heuristic_no_delay,0,D,C,78.70086437048818,0.0,True
heuristic_no_delay,0,C,E,63.54952197056993,0.0,True
heuristic_no_delay,0,E,C,63.54952197056993,0.0,True
heuristic_no_delay,0,C,F,22.010223403330727,0.0,True
heuristic_no_delay,0,F,C,22.010223403330727,0.0,True
heuristic_no_delay,0,C,G,75.57894807848994,0.0,True
heuristic_no_delay,0,G,C,75.57894807848994,0.0,True
heuristic_no_delay,0,C,I,44.18562402776694,0.0,True
heuristic_no_delay,0,I,C,44.18562402776694,0.0,True
heuristic_no_delay,0,C,J,58.36512218414315,0.0,True
heuristic_no_delay,0,J,C,58.36512218414315,0.0,True
heuristic_no_delay,0,C,M,38.08965362308838,0.0,True
heuristic_no_delay,0,M,C,38.08965362308838,0.0,True
heuristic_no_delay,0,C,N,29.578950315200476,0.0,True
heuristic_no_delay,0,N,C,29.578950315200476,0.0,True
heuristic_no_delay,0,D,F,50.00955449915601,0.0,True
heuristic_no_delay,0,F,D,50.00955449915601,0.0,True
heuristic_no_delay,0,D,H,49.64356187171657,0.0,True
heuristic_no_delay,0,H,D,49.64356187171657,0.0,True
heuristic_no_delay,0,D,I,56.30000529431061,0.0,True
heuristic_no_delay,0,I,D,56.30000529431061,0.0,True
heuristic_no_delay,0,D,J,51.991763189828205,0.0,True
heuristic_no_delay,0,J,D,51.991763189828205,0.0,True
heuristic_no_delay,0,D,K,71.00359978351344,0.0,True
heuristic_no_delay,0,K,D,71.00359978351344,0.0,True
heuristic_no_delay,0,D,L,53.58103919101485,0.0,True
heuristic_no_delay,0,L,D,53.58103919101485,0.0,True
heuristic_no_delay,0,D,M,37.680019342175804,0.0,True
heuristic_no_delay,0,M,D,37.680019342175804,0.0,True
heuristic_no_delay,0,E,G,78.60474135603619,0.0,True
heuristic_no_delay,0,G,E,78.60474135603619,0.0,True
heuristic_no_delay,0,E,H,36.58939244936226,0.0,True
heuristic_no_delay,0,H,E,36.58939244936226,0.0,True
heuristic_no_delay,0,E,M,65.45782694655597,0.0,True
heuristic_no_delay,0,M,E,65.45782694655597,0.0,True
heuristic_no_delay,0,E,N,76.22045536508304,0.0,True
heuristic_no_delay,0,N,E,76.22045536508304,0.0,True
heuristic_no_delay,0,F,G,60.462953806762215,0.0,True
heuristic_no_delay,0,G,F,60.462953806762215,0.0,True
heuristic_no_delay,0,F,I,22.296014438276494,0.0,True
heuristic_no_delay,0,I,F,22.296014438276494,0.0,True
heuristic_no_delay,0,F,J,62.2360774065752,0.0,True
heuristic_no_delay,0,J,F,62.2360774065752,0.0,True
heuristic_no_delay,0,F,K,41.6604604610538,0.0,True
heuristic_no_delay,0,K,F,41.6604604610538,0.0,True
heuristic_no_delay,0,F,M,57.44398512492053,0.0,True
heuristic_no_delay,0,M,F,57.44398512492053,0.0,True
heuristic_no_delay,0,F,N,27.045250471953022,0.0,True
heuristic_no_delay,0,N,F,27.045250471953022,0.0,True
heuristic_no_delay,0,G,K,78.74716441760097,0.0,True
heuristic_no_delay,0,K,G,78.74716441760097,0.0,True
heuristic_no_delay,0,G,M,60.09275267868955,0.0,True
heuristic_no_delay,0,M,G,60.09275267868955,0.0,True
heuristic_no_delay,0,H,I,33.04691391907383,0.0,True
heuristic_no_delay,0,I,H,33.04691391907383,0.0,True
heuristic_no_delay,0,H,J,38.442486491492815,0.0,True
