,"('F', 'F')","('F', 'A')","('F', 'H')","('F', 'C')","('F', 'J')","('F', 'D')","('F', 'G')","('F', 'I')","('F', 'E')","('F', 'B')","('A', 'F')","('A', 'A')","('A', 'H')","('A', 'C')","('A', 'J')","('A', 'D')","('A', 'G')","('A', 'I')","('A', 'E')","('A', 'B')","('H', 'F')","('H', 'A')","('H', 'H')","('H', 'C')","('H', 'J')","('H', 'D')","('H', 'G')","('H', 'I')","('H', 'E')","('H', 'B')","('C', 'F')","('C', 'A')","('C', 'H')","('C', 'C')","('C', 'J')","('C', 'D')","('C', 'G')","('C', 'I')","('C', 'E')","('C', 'B')","('J', 'F')","('J', 'A')","('J', 'H')","('J', 'C')","('J', 'J')","('J', 'D')","('J', 'G')","('J', 'I')","('J', 'E')","('J', 'B')","('D', 'F')","('D', 'A')","('D', 'H')","('D', 'C')","('D', 'J')","('D', 'D')","('D', 'G')","('D', 'I')","('D', 'E')","('D', 'B')","('G', 'F')","('G', 'A')","('G', 'H')","('G', 'C')","('G', 'J')","('G', 'D')","('G', 'G')","('G', 'I')","('G', 'E')","('G', 'B')","('I', 'F')","('I', 'A')","('I', 'H')","('I', 'C')","('I', 'J')","('I', 'D')","('I', 'G')","('I', 'I')","('I', 'E')","('I', 'B')","('E', 'F')","('E', 'A')","('E', 'H')","('E', 'C')","('E', 'J')","('E', 'D')","('E', 'G')","('E', 'I')","('E', 'E')","('E', 'B')","('B', 'F')","('B', 'A')","('B', 'H')","('B', 'C')","('B', 'J')","('B', 'D')","('B', 'G')","('B', 'I')","('B', 'E')","('B', 'B')"
0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,
4,,,,,,,,,,13.094304566778266,,,,,,,10.904925124490397,,,11.394267984578835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,11.394267984578835,,,,,,,,
5,,,,,,,,,,,,,,,,,10.904925124490397,,,11.394267984578835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.394267984578835,,,,,,,,
6,,,,11.037260313668911,,,,,,13.094304566778266,,,,,,,10.904925124490397,,,11.394267984578835,,,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,11.394267984578835,,,,,,,,
7,,,,,,,,,,13.094304566778266,,,,,,,10.904925124490397,,,11.394267984578835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,11.394267984578835,,,,,,,,
8,,,,11.037260313668911,,,,,,13.094304566778266,,,,,,,10.904925124490397,,,11.394267984578835,,,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,11.394267984578835,,,,,,,,
9,,,,11.037260313668911,,,,,,13.094304566778266,,,,,,,10.904925124490397,,,,,,,,9.011647870223289,,,,,,11.037260313668911,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,
10,,,,11.037260313668911,,,,,,13.094304566778266,,,,,,,10.904925124490397,,,11.394267984578835,,,,,9.011647870223289,,,,,,11.037260313668911,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,11.394267984578835,,,,,,,,
11,,13.921795677048454,,11.037260313668911,,,,,,13.094304566778266,13.921795677048454,,,,,,10.904925124490397,,,11.394267984578835,,,,,9.011647870223289,,,,,,11.037260313668911,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,11.394267984578835,,,,,,,,
12,,,,11.037260313668911,,,,,,13.094304566778266,,,,,,,10.904925124490397,,,11.394267984578835,,,,,9.011647870223289,,,,,,11.037260313668911,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,11.394267984578835,,,,,,,,
