,"('I', 'I')","('I', 'D')","('I', 'O')","('I', 'L')","('I', 'J')","('I', 'B')","('I', 'K')","('I', 'N')","('I', 'A')","('I', 'E')","('I', 'C')","('I', 'M')","('I', 'G')","('I', 'F')","('I', 'H')","('D', 'I')","('D', 'D')","('D', 'O')","('D', 'L')","('D', 'J')","('D', 'B')","('D', 'K')","('D', 'N')","('D', 'A')","('D', 'E')","('D', 'C')","('D', 'M')","('D', 'G')","('D', 'F')","('D', 'H')","('O', 'I')","('O', 'D')","('O', 'O')","('O', 'L')","('O', 'J')","('O', 'B')","('O', 'K')","('O', 'N')","('O', 'A')","('O', 'E')","('O', 'C')","('O', 'M')","('O', 'G')","('O', 'F')","('O', 'H')","('L', 'I')","('L', 'D')","('L', 'O')","('L', 'L')","('L', 'J')","('L', 'B')","('L', 'K')","('L', 'N')","('L', 'A')","('L', 'E')","('L', 'C')","('L', 'M')","('L', 'G')","('L', 'F')","('L', 'H')","('J', 'I')","('J', 'D')","('J', 'O')","('J', 'L')","('J', 'J')","('J', 'B')","('J', 'K')","('J', 'N')","('J', 'A')","('J', 'E')","('J', 'C')","('J', 'M')","('J', 'G')","('J', 'F')","('J', 'H')","('B', 'I')","('B', 'D')","('B', 'O')","('B', 'L')","('B', 'J')","('B', 'B')","('B', 'K')","('B', 'N')","('B', 'A')","('B', 'E')","('B', 'C')","('B', 'M')","('B', 'G')","('B', 'F')","('B', 'H')","('K', 'I')","('K', 'D')","('K', 'O')","('K', 'L')","('K', 'J')","('K', 'B')","('K', 'K')","('K', 'N')","('K', 'A')","('K', 'E')","('K', 'C')","('K', 'M')","('K', 'G')","('K', 'F')","('K', 'H')","('N', 'I')","('N', 'D')","('N', 'O')","('N', 'L')","('N', 'J')","('N', 'B')","('N', 'K')","('N', 'N')","('N', 'A')","('N', 'E')","('N', 'C')","('N', 'M')","('N', 'G')","('N', 'F')","('N', 'H')","('A', 'I')","('A', 'D')","('A', 'O')","('A', 'L')","('A', 'J')","('A', 'B')","('A', 'K')","('A', 'N')","('A', 'A')","('A', 'E')","('A', 'C')","('A', 'M')","('A', 'G')","('A', 'F')","('A', 'H')","('E', 'I')","('E', 'D')","('E', 'O')","('E', 'L')","('E', 'J')","('E', 'B')","('E', 'K')","('E', 'N')","('E', 'A')","('E', 'E')","('E', 'C')","('E', 'M')","('E', 'G')","('E', 'F')","('E', 'H')","('C', 'I')","('C', 'D')","('C', 'O')","('C', 'L')","('C', 'J')","('C', 'B')","('C', 'K')","('C', 'N')","('C', 'A')","('C', 'E')","('C', 'C')","('C', 'M')","('C', 'G')","('C', 'F')","('C', 'H')","('M', 'I')","('M', 'D')","('M', 'O')","('M', 'L')","('M', 'J')","('M', 'B')","('M', 'K')","('M', 'N')","('M', 'A')","('M', 'E')","('M', 'C')","('M', 'M')","('M', 'G')","('M', 'F')","('M', 'H')","('G', 'I')","('G', 'D')","('G', 'O')","('G', 'L')","('G', 'J')","('G', 'B')","('G', 'K')","('G', 'N')","('G', 'A')","('G', 'E')","('G', 'C')","('G', 'M')","('G', 'G')","('G', 'F')","('G', 'H')","('F', 'I')","('F', 'D')","('F', 'O')","('F', 'L')","('F', 'J')","('F', 'B')","('F', 'K')","('F', 'N')","('F', 'A')","('F', 'E')","('F', 'C')","('F', 'M')","('F', 'G')","('F', 'F')","('F', 'H')","('H', 'I')","('H', 'D')","('H', 'O')","('H', 'L')","('H', 'J')","('H', 'B')","('H', 'K')","('H', 'N')","('H', 'A')","('H', 'E')","('H', 'C')","('H', 'M')","('H', 'G')","('H', 'F')","('H', 'H')"
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
