,"('A', 'A')","('A', 'B')","('A', 'I')","('A', 'J')","('A', 'N')","('A', 'K')","('A', 'E')","('A', 'D')","('A', 'G')","('A', 'F')","('A', 'H')","('A', 'L')","('A', 'O')","('A', 'M')","('A', 'C')","('B', 'A')","('B', 'B')","('B', 'I')","('B', 'J')","('B', 'N')","('B', 'K')","('B', 'E')","('B', 'D')","('B', 'G')","('B', 'F')","('B', 'H')","('B', 'L')","('B', 'O')","('B', 'M')","('B', 'C')","('I', 'A')","('I', 'B')","('I', 'I')","('I', 'J')","('I', 'N')","('I', 'K')","('I', 'E')","('I', 'D')","('I', 'G')","('I', 'F')","('I', 'H')","('I', 'L')","('I', 'O')","('I', 'M')","('I', 'C')","('J', 'A')","('J', 'B')","('J', 'I')","('J', 'J')","('J', 'N')","('J', 'K')","('J', 'E')","('J', 'D')","('J', 'G')","('J', 'F')","('J', 'H')","('J', 'L')","('J', 'O')","('J', 'M')","('J', 'C')","('N', 'A')","('N', 'B')","('N', 'I')","('N', 'J')","('N', 'N')","('N', 'K')","('N', 'E')","('N', 'D')","('N', 'G')","('N', 'F')","('N', 'H')","('N', 'L')","('N', 'O')","('N', 'M')","('N', 'C')","('K', 'A')","('K', 'B')","('K', 'I')","('K', 'J')","('K', 'N')","('K', 'K')","('K', 'E')","('K', 'D')","('K', 'G')","('K', 'F')","('K', 'H')","('K', 'L')","('K', 'O')","('K', 'M')","('K', 'C')","('E', 'A')","('E', 'B')","('E', 'I')","('E', 'J')","('E', 'N')","('E', 'K')","('E', 'E')","('E', 'D')","('E', 'G')","('E', 'F')","('E', 'H')","('E', 'L')","('E', 'O')","('E', 'M')","('E', 'C')","('D', 'A')","('D', 'B')","('D', 'I')","('D', 'J')","('D', 'N')","('D', 'K')","('D', 'E')","('D', 'D')","('D', 'G')","('D', 'F')","('D', 'H')","('D', 'L')","('D', 'O')","('D', 'M')","('D', 'C')","('G', 'A')","('G', 'B')","('G', 'I')","('G', 'J')","('G', 'N')","('G', 'K')","('G', 'E')","('G', 'D')","('G', 'G')","('G', 'F')","('G', 'H')","('G', 'L')","('G', 'O')","('G', 'M')","('G', 'C')","('F', 'A')","('F', 'B')","('F', 'I')","('F', 'J')","('F', 'N')","('F', 'K')","('F', 'E')","('F', 'D')","('F', 'G')","('F', 'F')","('F', 'H')","('F', 'L')","('F', 'O')","('F', 'M')","('F', 'C')","('H', 'A')","('H', 'B')","('H', 'I')","('H', 'J')","('H', 'N')","('H', 'K')","('H', 'E')","('H', 'D')","('H', 'G')","('H', 'F')","('H', 'H')","('H', 'L')","('H', 'O')","('H', 'M')","('H', 'C')","('L', 'A')","('L', 'B')","('L', 'I')","('L', 'J')","('L', 'N')","('L', 'K')","('L', 'E')","('L', 'D')","('L', 'G')","('L', 'F')","('L', 'H')","('L', 'L')","('L', 'O')","('L', 'M')","('L', 'C')","('O', 'A')","('O', 'B')","('O', 'I')","('O', 'J')","('O', 'N')","('O', 'K')","('O', 'E')","('O', 'D')","('O', 'G')","('O', 'F')","('O', 'H')","('O', 'L')","('O', 'O')","('O', 'M')","('O', 'C')","('M', 'A')","('M', 'B')","('M', 'I')","('M', 'J')","('M', 'N')","('M', 'K')","('M', 'E')","('M', 'D')","('M', 'G')","('M', 'F')","('M', 'H')","('M', 'L')","('M', 'O')","('M', 'M')","('M', 'C')","('C', 'A')","('C', 'B')","('C', 'I')","('C', 'J')","('C', 'N')","('C', 'K')","('C', 'E')","('C', 'D')","('C', 'G')","('C', 'F')","('C', 'H')","('C', 'L')","('C', 'O')","('C', 'M')","('C', 'C')"
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,9.272948151106249,,,,,0.0,,,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,9.272948151106249,0.0,
3,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,4.306135258436866,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,4.306135258436866,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,9.272948151106249,,,,,0.0,,,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,9.272948151106249,0.0,
4,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,4.306135258436866,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,4.306135258436866,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,9.272948151106249,,,,,0.0,,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,9.272948151106249,0.0,
5,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,4.306135258436866,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,4.306135258436866,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,9.272948151106249,,,,,0.0,,,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,9.272948151106249,0.0,
6,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,4.96921177879121,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,4.306135258436866,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,4.306135258436866,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,9.272948151106249,,,,,0.0,,,,0.0,0.0,,,,,0.0,,0.0,4.96921177879121,0.0,0.0,,0.0,,,,,,9.272948151106249,0.0,
7,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,4.96921177879121,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,4.306135258436866,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,4.306135258436866,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,9.272948151106249,,,,,0.0,,,,0.0,0.0,,,,,0.0,,0.0,4.96921177879121,0.0,0.0,,0.0,,,,,,9.272948151106249,0.0,
8,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,4.96921177879121,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,4.306135258436866,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,4.306135258436866,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,9.272948151106249,,,,,0.0,,,,0.0,0.0,,,,,0.0,,0.0,4.96921177879121,0.0,0.0,,0.0,,,,,,9.272948151106249,0.0,
9,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,4.96921177879121,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,4.306135258436866,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,4.306135258436866,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,9.272948151106249,,,,,0.0,,,,0.0,0.0,,,,,0.0,,0.0,4.96921177879121,0.0,0.0,,0.0,,,,,,9.272948151106249,0.0,
