u,v,capacity,latency,loss,fail_p
A,B,35.970423384352436,6.736700452993218,0.004849595083675253,0.005258517219887097
A,D,39.04273505109231,7.087995581405351,0.001704826344592152,0.00237985775712584
A,G,31.33813920709726,9.751377253073194,0.006578383891005481,0.006434060707976181
B,C,33.6332662421983,3.3956215395694938,0.018600344275596002,0.0073005931292300106
B,D,74.64873706223574,3.4397725176498906,0.013849236008701266,0.005139929943826705
B,E,32.55523914133637,6.211679578612717,0.008235313547006714,0.006619977086856598
B,K,73.2530125308891,8.334786443310978,0.01635112072140381,0.002125982392538967
B,N,42.064380090612865,5.650575670243198,0.0001348729965682427,0.0010811594809757876
C,D,78.70086437048818,8.652364960956554,0.016576046576875742,0.008225348522887817
C,E,63.54952197056993,1.8812777142551886,0.002737138458511399,0.004384678067951628
C,F,22.010223403330727,5.660844835820504,0.019315893777349637,0.0017086730586878464
C,G,75.57894807848994,5.755008971621859,0.009301346626511685,0.004764394640276205
C,I,44.18562402776694,4.262719113114441,0.015504092392155168,0.0011726354256855578
C,J,58.36512218414315,1.079520879440108,0.006336433865920661,0.00412113357972798
C,M,38.08965362308838,4.867750173560621,0.018529733715705595,0.0020106715554897986
C,N,29.578950315200476,1.4514647933781712,0.002860897336808137,0.003798829161936526
D,F,50.00955449915601,3.1689507232012084,0.01798586021476339,0.009962423881677552
D,H,49.64356187171657,4.888959751509585,0.010796497785026131,0.003012564343931691
D,I,56.30000529431061,8.438867426282116,0.006707568154615568,0.004402434594440141
D,J,51.991763189828205,8.343619054210464,0.009607072067941487,0.002134196611247239
D,K,71.00359978351344,7.4039137534455595,0.005108209549322121,0.005631163141951268
D,L,53.58103919101485,1.252009167954407,0.0060069059769456805,0.005362584522527507
D,M,37.680019342175804,6.977138076025114,0.004966456292210522,0.008041280406531775
E,G,78.60474135603619,1.4434545064107769,0.011232916488967865,0.002662828923575367
E,H,36.58939244936226,4.419186024995522,3.189112721104781e-05,0.0035373665470336715
E,M,65.45782694655597,9.040410894445628,0.010496964202261828,0.005451538995341497
E,N,76.22045536508304,4.012342643470028,0.003941005472929373,0.0030793521756710385
F,G,60.462953806762215,6.710437452526444,0.01882627629278216,0.008331654094416902
F,I,22.296014438276494,1.2707370145935521,0.00390474093973064,0.001786441937238473
F,J,62.2360774065752,4.9608538678455965,0.00514654602529965,0.005485420246820651
F,K,41.6604604610538,4.491327580481788,0.0011463375543386478,0.009481731375747392
F,M,57.44398512492053,1.2152741654774983,0.0075503318721459834,0.00636056177181408
F,N,27.045250471953022,5.326787398384966,0.004927738972807354,0.006636861059553214
G,K,78.74716441760097,6.976799081282622,0.010669626445884359,0.0052631627739096855
G,M,60.09275267868955,4.480579775377441,0.011190860861533258,0.0064459104716786415
H,I,33.04691391907383,4.455931652049864,0.0067516766005864225,0.004356940307073005
H,J,38.442486491492815,5.2678459466663705,0.0030932788345408293,0.0019655773463470214
H,N,73.41548381854531,4.874523704302069,0.009476129940575678,0.0011985557142715098
H,O,57.81407709762046,7.871816062195526,0.006111943399075004,0.008350104533812974
I,K,34.73124898620571,9.945982740865817,0.010407164149458066,0.0010179065466378882
I,M,25.83376567621533,9.408138964348954,0.008027320911401995,0.00707305258402702
I,N,73.67238894587685,6.406095132182792,0.006845725842240043,0.0035434737281159253
J,M,45.71898067977815,7.217357468697438,0.01957208847877049,0.007894483222539047
J,N,74.57414460097336,7.798901947327554,0.006575358849534599,0.004367991716669832
K,N,60.455023308662746,1.8907929985691663,0.010777860335815464,0.006554636245264269
L,N,58.51563433155407,5.3205722316045705,0.0054659133265234725,0.0054594256768840865
L,O,31.957596703122682,9.084248600773897,0.012237113210404795,0.0017865703099228295
M,N,24.222988214297434,4.317050188328408,0.007343399504761603,0.0015089822434158641
M,O,46.2872183609134,9.863528976355912,0.005843416809357039,0.009298064673777258
N,O,68.93996285423216,2.148577321170685,0.013688585671588567,0.002481411501110215
