,"('A', 'A')","('A', 'E')","('A', 'H')","('A', 'D')","('A', 'F')","('A', 'C')","('A', 'I')","('A', 'J')","('A', 'B')","('A', 'G')","('E', 'A')","('E', 'E')","('E', 'H')","('E', 'D')","('E', 'F')","('E', 'C')","('E', 'I')","('E', 'J')","('E', 'B')","('E', 'G')","('H', 'A')","('H', 'E')","('H', 'H')","('H', 'D')","('H', 'F')","('H', 'C')","('H', 'I')","('H', 'J')","('H', 'B')","('H', 'G')","('D', 'A')","('D', 'E')","('D', 'H')","('D', 'D')","('D', 'F')","('D', 'C')","('D', 'I')","('D', 'J')","('D', 'B')","('D', 'G')","('F', 'A')","('F', 'E')","('F', 'H')","('F', 'D')","('F', 'F')","('F', 'C')","('F', 'I')","('F', 'J')","('F', 'B')","('F', 'G')","('C', 'A')","('C', 'E')","('C', 'H')","('C', 'D')","('C', 'F')","('C', 'C')","('C', 'I')","('C', 'J')","('C', 'B')","('C', 'G')","('I', 'A')","('I', 'E')","('I', 'H')","('I', 'D')","('I', 'F')","('I', 'C')","('I', 'I')","('I', 'J')","('I', 'B')","('I', 'G')","('J', 'A')","('J', 'E')","('J', 'H')","('J', 'D')","('J', 'F')","('J', 'C')","('J', 'I')","('J', 'J')","('J', 'B')","('J', 'G')","('B', 'A')","('B', 'E')","('B', 'H')","('B', 'D')","('B', 'F')","('B', 'C')","('B', 'I')","('B', 'J')","('B', 'B')","('B', 'G')","('G', 'A')","('G', 'E')","('G', 'H')","('G', 'D')","('G', 'F')","('G', 'C')","('G', 'I')","('G', 'J')","('G', 'B')","('G', 'G')"
0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.904925124490397,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,,0.0,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,
9,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,
