,"('I', 'I')","('I', 'B')","('I', 'J')","('I', 'A')","('I', 'C')","('I', 'G')","('I', 'E')","('I', 'F')","('I', 'H')","('I', 'D')","('B', 'I')","('B', 'B')","('B', 'J')","('B', 'A')","('B', 'C')","('B', 'G')","('B', 'E')","('B', 'F')","('B', 'H')","('B', 'D')","('J', 'I')","('J', 'B')","('J', 'J')","('J', 'A')","('J', 'C')","('J', 'G')","('J', 'E')","('J', 'F')","('J', 'H')","('J', 'D')","('A', 'I')","('A', 'B')","('A', 'J')","('A', 'A')","('A', 'C')","('A', 'G')","('A', 'E')","('A', 'F')","('A', 'H')","('A', 'D')","('C', 'I')","('C', 'B')","('C', 'J')","('C', 'A')","('C', 'C')","('C', 'G')","('C', 'E')","('C', 'F')","('C', 'H')","('C', 'D')","('G', 'I')","('G', 'B')","('G', 'J')","('G', 'A')","('G', 'C')","('G', 'G')","('G', 'E')","('G', 'F')","('G', 'H')","('G', 'D')","('E', 'I')","('E', 'B')","('E', 'J')","('E', 'A')","('E', 'C')","('E', 'G')","('E', 'E')","('E', 'F')","('E', 'H')","('E', 'D')","('F', 'I')","('F', 'B')","('F', 'J')","('F', 'A')","('F', 'C')","('F', 'G')","('F', 'E')","('F', 'F')","('F', 'H')","('F', 'D')","('H', 'I')","('H', 'B')","('H', 'J')","('H', 'A')","('H', 'C')","('H', 'G')","('H', 'E')","('H', 'F')","('H', 'H')","('H', 'D')","('D', 'I')","('D', 'B')","('D', 'J')","('D', 'A')","('D', 'C')","('D', 'G')","('D', 'E')","('D', 'F')","('D', 'H')","('D', 'D')"
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
